"GEOID","STATEFP","DISTRICT","SESSN.x","Dperimeter","Darea","PolsbyW","Reock","ReockX","DSTperim","Coast_len","STarea","STperim","STpolsby","STreock","ST","STATE","ST_POP","POP_REP","SESSN.y","Pop_Den","Nd","Cnt_Pby_Avg","Cnt_Pby_Med","Cnt_Pby_Gvg","Cnt_Pby_Hvg","Cnt_Pby_Min","Cnt_Pby_SD","Cnt_Rk_Avg","Cnt_Rk_Med","Cnt_Rk_Gvg","Cnt_Rk_Hvg","Cnt_Rk_Min","Cnt_Rk_SD","Cnt_RkX_Avg","Cnt_RkX_Med","Cnt_RkX_Gvg","Cnt_RkX_Hvg","Cnt_RkX_Min","Cnt_RkX_SD","LNd","STLarea","STLarea_Nd","LPop_Den","S118","Decade","RSTPerim","RSTPolsby","RCoast","Coast","STposlby2","STreock2","Cnt_Pby_Avg2","Cnt_Pby_Gvg2","Cnt_Pby_Hvg2","Cnt_Pby_Med2","Cnt_Rk_Avg2","Cnt_Rk_Gvg2","Cnt_Rk_Hvg2","Cnt_Rk_Med2","Cnt_RkX_Avg2","Cnt_RkX_Gvg2","Cnt_RkX_Hvg2","Cnt_RkX_Med2","Cnt_Pby_SDI","Cnt_Rk_SDI","Cnt_RkX_SDI","CReq"
601,6,1,"Mid-decade",1738828,4679.0806899,0.194471683489297,0.37064631148148,0.433327352834092,205198,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0.118009371829761,0.0448447894767019,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
602,6,2,"Mid-decade",1963615,6419.0142925,0.209201635118173,0.272209541043202,0.430526172847912,1046270,406066,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0.532828482161727,0.202480368628716,0.206795120224688,1,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
603,6,3,"Mid-decade",707943,924.8619269,0.23189385085786,0.441957491208768,0.46386873717902,63615,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0.0898589293205809,0.034147328347756,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
604,6,4,"Mid-decade",964199,1278.0740713,0.172755325434895,0.346617822685629,0.347675986069168,8459,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0.0087730852241083,0.00333386369096052,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
605,6,5,"Mid-decade",1730118,6311.6236464,0.264971181867504,0.265953054579744,0.432100845733776,511475,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0.295630124650457,0.112342524134828,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
606,6,6,"Mid-decade",238352,54.194605,0.119874404896382,0.268679736630135,0.268679736630135,0,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0,0,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
607,6,7,"Mid-decade",559801,376.3033955,0.150896769580131,0.299117147036215,0.299117147036215,0,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0,0,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
608,6,8,"Mid-decade",451939,350.3827304,0.215572052879023,0.410689135207481,0.424259686897511,48650,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0.107647270981261,0.0409070833108076,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
609,6,9,"Mid-decade",485989,161.8895052,0.0861340075615396,0.31180010820024,0.31180010820024,0,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0,0,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
610,6,10,"Mid-decade",279314,162.1599862,0.261194997861516,0.511451283431635,0.511451283431635,0,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0,0,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
611,6,11,"Mid-decade",59176,10.0631105,0.549069085674587,0.600102181087787,0.762398121156752,38047,0,41048.1324915,4079493,0.3800104074903,0.286469314819243,"CA","California",39576757,761091,NA,964.154873749623,52,0.427888552577226,0.412777246318529,0.410498064303237,0.394709173416355,0.249901997998667,0.128897958820353,0.416782972559074,0.420595884795652,0.403166045936034,0.389349705734857,0.224852824915846,0.106604142561079,0.480398788585196,0.466468689530966,0.459164140736705,0.437970912678348,0.224852824915846,0.144728249208937,3.95124371858143,26.7405962712961,0.514242235986464,6.87125193912315,1,2,0.64294646478302,0.244326348076643,0,0,0.144407909800944,0.0820646683330067,0.183088613426634,0.168508660796704,0.155795331579022,0.170385055078308,0.173708046215178,0.162542860595697,0.15159319335582,0.176900898307037,0.230782996074124,0.210831708138476,0.191818520352305,0.217593038312737,7.75807475270977,9.38049850574096,6.90950111996691,1
