"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.276368774503571,0.0129417594553843,21.3548069299488,3.5182218767541e-101
"Phi:(phi)",14.0675877187229,2.18033099613213,6.45204225582198,1.10352797237603e-10
"Rsq",NA,NA,NA,NA
"AIC",-118.073751799482,NA,NA,NA
"BIC",-122.073751799482,NA,NA,NA
