STATE,ST_POP,REPs,POP_REP
Alabama,4802982,7,686140
Alaska,721523,1,721523
Arizona,6412700,9,712522
Arkansas,2926229,4,731557
California,37341989,53,704566
Colorado,5044930,7,720704
Connecticut,3581628,5,716326
Delaware,900877,1,900877
Florida,18900773,27,700029
Georgia,9727566,14,694826
Hawaii,1366862,2,683431
Idaho,1573499,2,786750
Illinois,12864380,18,714688
Indiana,6501582,9,722398
Iowa,3053787,4,763447
Kansas,2863813,4,715953
Kentucky,4350606,6,725101
Louisiana,4553962,6,758994
Maine,1333074,2,666537
Maryland,5789929,8,723741
Massachusetts,6559644,9,728849
Michigan,9911626,14,707973
Minnesota,5314879,8,664360
Mississippi,2978240,4,744560
Missouri,6011478,8,751435
Montana,994416,1,994416
Nebraska,1831825,3,610608
Nevada,2709432,4,677358
New Hampshire,1321445,2,660723
New Jersey,8807501,12,733958
New Mexico,2067273,3,689091
New York,19421055,27,719298
North Carolina,9565781,13,735829
North Dakota,675905,1,675905
Ohio,11568495,16,723031
Oklahoma,3764882,5,752976
Oregon,3848606,5,769721
Pennsylvania,12734905,18,707495
Rhode Island,1055247,2,527624
South Carolina,4645975,7,663711
South Dakota,819761,1,819761
Tennessee,6375431,9,708381
Texas,25268418,36,701901
Utah,2770765,4,692691
Vermont,630337,1,630337
Virginia,8037736,11,730703
Washington,6753369,10,675337
West Virginia,1859815,3,619938
Wisconsin,5698230,8,712279
Wyoming,568300,1,568300
