"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.388858493182286,0.0126686762473463,30.6944850109134,6.74280667371514e-207
"Phi:(phi)",17.7056878898403,2.74440546775429,6.45155684824101,1.10706906339998e-10
"Rsq",NA,NA,NA,NA
"AIC",-117.757302575917,NA,NA,NA
"BIC",-121.757302575917,NA,NA,NA
