"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.0289022712895235,0.0469876560380414,0.615103491566467,0.538486376379766
"Cnt_Pby_Avg",0.353977515111665,0.0925389730790795,3.8251722850779,0.000130680665735236
"RSTPolsby",0.404819486033316,0.0830464661275394,4.87461423598219,1.09021283867673e-06
"Phi:(phi)",17.183377034624,2.11480363852022,8.12528251873429,4.46321586916978e-16
"Rsq",0.256570659578154,NA,NA,NA
"AIC",-220.815801052583,NA,NA,NA
"BIC",-214.508133449426,NA,NA,NA
