"Var1","Var2","Corr"
"POP_REP","LNd",0.0419415461842018
"POP_REP","Cnt_Pby_Avg",-0.0344033989922783
"POP_REP","Cnt_Pby_Min",-0.0863019180358271
"POP_REP","Cnt_Rk_Avg",-0.0142007423119456
"POP_REP","Cnt_Rk_Min",-0.0961352645335853
"POP_REP","S108",-0.764973681949907
"POP_REP","S113",0.0533179987761791
"POP_REP","S118",0.711238900893075
"POP_REP","Decade",0.852199406011404
"POP_REP","RSTPerim",0.00290991570508413
"POP_REP","RSTPolsby",-0.0342345313633133
"POP_REP","RCoast",0.0181902578526522
"POP_REP","Coast",0.015130979848475
"POP_REP","Cnt_Pby_SDI",-0.0998390733078166
"POP_REP","Cnt_Rk_SDI",-0.0251734168804152
"POP_REP","CReq",-0.0612766548020847
"LPop_Den","LNd",0.446171733771646
"LPop_Den","Cnt_Pby_Avg",-0.312250855575619
"LPop_Den","Cnt_Pby_Min",0.157755325989397
"LPop_Den","Cnt_Rk_Avg",-0.317142168096135
"LPop_Den","Cnt_Rk_Min",-0.0751470875690016
"LPop_Den","S108",-0.0468511426464742
"LPop_Den","S113",0.00574431432128822
"LPop_Den","S118",0.0410827540459175
"LPop_Den","Decade",0.0507627251539462
"LPop_Den","RSTPerim",-0.130892752977909
"LPop_Den","RSTPolsby",-0.291916568238914
"LPop_Den","RCoast",0.128678286793884
"LPop_Den","Coast",0.151645715917459
"LPop_Den","Cnt_Pby_SDI",0.231874396730222
"LPop_Den","Cnt_Rk_SDI",-0.226901909681824
"LPop_Den","CReq",-0.0571664156656492
"LNd","Cnt_Pby_Avg",-0.056090818726499
"LNd","Cnt_Pby_Min",-0.0775561380783318
"LNd","Cnt_Rk_Avg",-0.16973586636841
"LNd","Cnt_Rk_Min",-0.297897592870127
"LNd","S108",0.00194230131800645
"LNd","S113",0.00364627042034687
"LNd","S118",-0.00558529878244252
"LNd","Decade",-0.00434625349932665
"LNd","RSTPerim",-0.384440006996479
"LNd","RSTPolsby",-0.449339821009933
"LNd","RCoast",0.0313938475131474
"LNd","Coast",0.0406046732242419
"LNd","Cnt_Pby_SDI",-0.392037733964398
"LNd","Cnt_Rk_SDI",-0.302373658645043
"LNd","CReq",0.128644017807695
"Cnt_Pby_Avg","Cnt_Pby_Min",0.324026194081587
"Cnt_Pby_Avg","Cnt_Rk_Avg",0.862747996314091
"Cnt_Pby_Avg","Cnt_Rk_Min",0.158672029504782
"Cnt_Pby_Avg","S108",0.00764213470397492
"Cnt_Pby_Avg","S113",-0.000797126365807722
"Cnt_Pby_Avg","S118",-0.00684099954816703
"Cnt_Pby_Avg","Decade",-0.00836088932464244
"Cnt_Pby_Avg","RSTPerim",-0.0249491635842504
"Cnt_Pby_Avg","RSTPolsby",0.0985995962670123
"Cnt_Pby_Avg","RCoast",-0.118104585098356
"Cnt_Pby_Avg","Coast",-0.104195210805862
"Cnt_Pby_Avg","Cnt_Pby_SDI",-0.229609768573581
"Cnt_Pby_Avg","Cnt_Rk_SDI",0.395274998674936
"Cnt_Pby_Avg","CReq",0.0313453749364304
"Cnt_Pby_Min","Cnt_Rk_Avg",0.083748555893947
"Cnt_Pby_Min","Cnt_Rk_Min",0.248176836569449
"Cnt_Pby_Min","S108",0.021620844095763
"Cnt_Pby_Min","S113",-0.00321704200478223
"Cnt_Pby_Min","S118",-0.0183930238750689
"Cnt_Pby_Min","Decade",-0.0230992153561187
"Cnt_Pby_Min","RSTPerim",0.0338392870708941
"Cnt_Pby_Min","RSTPolsby",0.211271224992686
"Cnt_Pby_Min","RCoast",0.00137087483166327
"Cnt_Pby_Min","Coast",0.0232094175643769
"Cnt_Pby_Min","Cnt_Pby_SDI",0.550763291074577
"Cnt_Pby_Min","Cnt_Rk_SDI",0.245470514164049
"Cnt_Pby_Min","CReq",0.261850623106525
"Cnt_Rk_Avg","Cnt_Rk_Min",0.178818813515368
"Cnt_Rk_Avg","S108",0.00632152020247611
"Cnt_Rk_Avg","S113",-0.0017743190466235
"Cnt_Rk_Avg","S118",-0.0045445380802767
"Cnt_Rk_Avg","Decade",-0.00627260848553942
"Cnt_Rk_Avg","RSTPerim",0.00470021904640139
"Cnt_Rk_Avg","RSTPolsby",0.0663361949386337
"Cnt_Rk_Avg","RCoast",-0.18137070106245
"Cnt_Rk_Avg","Coast",-0.156538865030635
"Cnt_Rk_Avg","Cnt_Pby_SDI",-0.244204563445752
"Cnt_Rk_Avg","Cnt_Rk_SDI",0.470851865621114
"Cnt_Rk_Avg","CReq",-0.167599539741943
"Cnt_Rk_Min","S108",0.0036019941098686
"Cnt_Rk_Min","S113",0.00105084795716681
"Cnt_Rk_Min","S118",-0.00465011712269215
"Cnt_Rk_Min","Decade",-0.00476407056017746
"Cnt_Rk_Min","RSTPerim",0.154928078127324
"Cnt_Rk_Min","RSTPolsby",0.193308770424406
"Cnt_Rk_Min","RCoast",0.000980968296271142
"Cnt_Rk_Min","Coast",-0.00313465157087642
"Cnt_Rk_Min","Cnt_Pby_SDI",0.313399024783443
"Cnt_Rk_Min","Cnt_Rk_SDI",0.631288162183647
"Cnt_Rk_Min","CReq",0.0975744670963698
"S108","S113",-0.499413833528722
"S108","S118",-0.500292997388169
"S108","Decade",-0.866025469856941
"S108","RSTPerim",-0.0110211218639342
"S108","RSTPolsby",-0.0263381903465828
"S108","RCoast",-0.0381522856640167
"S108","Coast",-0.0446869480496802
"S108","Cnt_Pby_SDI",0.0132394278574599
"S108","Cnt_Rk_SDI",0.00900202029364785
"S108","CReq",0.00647941469891462
"S113","S118",-0.500292997388169
"S113","Decade",-0.000676582398325729
"S113","RSTPerim",-0.013115767696725
"S113","RSTPolsby",-0.00173959367975752
"S113","RCoast",0.0132293590842086
"S113","Coast",0.0118544023210703
"S113","Cnt_Pby_SDI",-0.00385005591449064
"S113","Cnt_Rk_SDI",-0.00460595128563219
"S113","CReq",-0.000417939774586669
"S118","Decade",0.866194466822415
"S118","RSTPerim",0.0241227537529691
"S118","RSTPolsby",0.0280613402275499
"S118","RCoast",0.0249083304282898
"S118","Coast",0.03281331729608
"S118","Cnt_Pby_SDI",-0.00938387304238456
"S118","Cnt_Rk_SDI",-0.00439349444322206
"S118","CReq",-0.00605792501191552
"Decade","RSTPerim",0.0202905598115828
"Decade","RSTPolsby",0.0314048075525398
"Decade","RCoast",0.0364022683537315
"Decade","Coast",0.044738421239938
"Decade","Cnt_Pby_SDI",-0.0130596412370968
"Decade","Cnt_Rk_SDI",-0.0077323694179747
"Decade","CReq",-0.00723765823720232
"RSTPerim","RSTPolsby",0.847680649747182
"RSTPerim","RCoast",0.390197282054535
"RSTPerim","Coast",0.35945960068043
"RSTPerim","Cnt_Pby_SDI",0.188372337123582
"RSTPerim","Cnt_Rk_SDI",0.119786818364651
"RSTPerim","CReq",-0.00240727858216683
"RSTPolsby","RCoast",0.229977324869706
"RSTPolsby","Coast",0.232701963311871
"RSTPolsby","Cnt_Pby_SDI",0.261195029518562
"RSTPolsby","Cnt_Rk_SDI",0.201798978178367
"RSTPolsby","CReq",0.0612122512899609
"RCoast","Coast",0.779179998360852
"RCoast","Cnt_Pby_SDI",0.174896396796221
"RCoast","Cnt_Rk_SDI",-0.0676855714280465
"RCoast","CReq",0.0960470892529784
"Coast","Cnt_Pby_SDI",0.154599692687054
"Coast","Cnt_Rk_SDI",-0.0699176375533773
"Coast","CReq",0.0901980637519448
"Cnt_Pby_SDI","Cnt_Rk_SDI",0.336648802872038
"Cnt_Pby_SDI","CReq",0.0634657469739133
"Cnt_Rk_SDI","CReq",-0.0468096753061447
