GEOID,STATEFP,DISTRICT,SESSN,Dperimeter,Darea,PolsbyW,Reock,ReockX,DSTperim,Coast_len,STarea,STperim,STpolsby,STreock
0601,06,01,Mid-decade,1738828,46790806899,0.19447168348929678,0.37064631148148014,0.4333273528340921,205198,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0602,06,02,Mid-decade,1963615,64190142925,0.20920163511817305,0.272209541043202,0.4305261728479117,1046270,406066.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0603,06,03,Mid-decade,707943,9248619269,0.2318938508578602,0.4419574912087676,0.46386873717901966,63615,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0604,06,04,Mid-decade,964199,12780740713,0.17275532543489502,0.34661782268562913,0.3476759860691678,8459,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0605,06,05,Mid-decade,1730118,63116236464,0.26497118186750396,0.26595305457974405,0.43210084573377616,511475,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0606,06,06,Mid-decade,238352,541946050,0.11987440489638215,0.268679736630135,0.268679736630135,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0607,06,07,Mid-decade,559801,3763033955,0.1508967695801306,0.2991171470362145,0.2991171470362146,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0608,06,08,Mid-decade,451939,3503827304,0.21557205287902317,0.410689135207481,0.42425968689751065,48650,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0609,06,09,Mid-decade,485989,1618895052,0.08613400756153959,0.3118001082002399,0.31180010820023996,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0610,06,10,Mid-decade,279314,1621599862,0.2611949978615162,0.5114512834316346,0.5114512834316348,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0611,06,11,Mid-decade,59176,100631105,0.5490690856745869,0.600102181087787,0.7623981211567521,38047,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0612,06,12,Mid-decade,90116,256829438,0.39741204931594726,0.36543444257300584,0.5572890435029698,34532,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0613,06,13,Mid-decade,776370,9979904263,0.20806447471733036,0.4423068936737658,0.4423068936737658,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0614,06,14,Mid-decade,210264,1420827933,0.4038479599336681,0.4599575384981163,0.4666836931892016,18668,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0615,06,15,Mid-decade,132419,323286028,0.23168113225305134,0.21005580022277856,0.3166822608848323,42409,2386.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0616,06,16,Mid-decade,342200,1400858490,0.15032925223475704,0.30421518545568765,0.41433958333062565,73023,50062.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0617,06,17,Mid-decade,157424,490732051,0.24883418227048104,0.5077861917959089,0.5091669669788912,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0618,06,18,Mid-decade,974180,15334906355,0.203054150376924,0.2795440589611529,0.31786190624524524,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0619,06,19,Mid-decade,1091594,7364233742,0.07766308386515357,0.12289005075140218,0.18175393913249882,264904,184911.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0620,06,20,Mid-decade,1821931,27041077626,0.1023692235007256,0.3924046494317884,0.3924046494317881,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0621,06,21,Mid-decade,361661,1691641479,0.1625224983691176,0.29554114391639147,0.29554114391639147,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0622,06,22,Mid-decade,1071402,12044518545,0.1318541400473873,0.28714260439975736,0.2871426043997575,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0623,06,23,Mid-decade,1635242,57572325291,0.270557158683171,0.4897510489493151,0.5723024196347396,374946,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0624,06,24,Mid-decade,1004052,12995732315,0.28291045563864603,0.33922737263712927,0.5429483734685542,515231,376934.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0625,06,25,Mid-decade,1255809,21664041889,0.17262421779540169,0.39321420346233077,0.4755504288620056,263818,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0626,06,26,Mid-decade,666798,5837436953,0.16498434985128452,0.46749197798539305,0.47991220534820495,37954,14546.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0627,06,27,Mid-decade,428404,2109073233,0.14440844657341267,0.3203487063140971,0.3203487063140971,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0628,06,28,Mid-decade,384142,2187714623,0.18630067114154064,0.5121662338886134,0.5121662338886136,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0629,06,29,Mid-decade,97633,220580382,0.2907920604613638,0.3982917674438529,0.39829176744385264,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0630,06,30,Mid-decade,286493,1027810581,0.1573599269147426,0.3377669767093256,0.3377669767093256,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0631,06,31,Mid-decade,196402,439311100,0.14311521311704659,0.34237951030753583,0.34237951030753555,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0632,06,32,Mid-decade,283576,890242195,0.1391162692687135,0.40698813558249924,0.5347529749738196,40488,29897.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0633,06,33,Mid-decade,242174,555285882,0.11897869398467478,0.3037751665566731,0.30377516655667314,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0634,06,34,Mid-decade,88730,129627581,0.20690145640455282,0.40511562848588006,0.4051156284858799,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0635,06,35,Mid-decade,224537,585909805,0.1460366311686821,0.482850706960583,0.4828507069605827,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0636,06,36,Mid-decade,163938,260955099,0.12201536493664752,0.15813913709567118,0.22574634249584263,44358,35674.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0637,06,37,Mid-decade,76410,136837822,0.2945127278839151,0.48460220456333114,0.48460220456333103,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
0638,06,38,Mid-decade,269795,454730087,0.07850411695590058,0.24227175756509362,0.24227175756509364,0,0.0,410481324915,4079493,0.38001040749029974,0.2864693148192432
