"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.519811624625536,0.0715491705475391,7.26509644552986,3.72772205141357e-13
"LPop_Den",-0.0224562181691632,0.0120355836436779,-1.86581879483336,0.0620667218566515
"Phi:(phi)",18.4840140867812,2.86825912526018,6.44433200752201,1.16110662234775e-10
"Rsq",0.0423187398404825,NA,NA,NA
"AIC",-119.145849120167,NA,NA,NA
"BIC",-118.443888754165,NA,NA,NA
