"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.378005210175909,0.0153807714137174,24.5764792940608,2.25448166887152e-133
"S118",0.0317579798350715,0.0265243578983334,1.19731380328973,0.231184266292994
"Phi:(phi)",18.02871924272,2.795808008692,6.44848258058842,1.12975545190784e-10
"Rsq",0.0168487006877273,NA,NA,NA
"AIC",-117.181323013316,NA,NA,NA
"BIC",-116.479362647314,NA,NA,NA
