"","Accuracy","Precison","TPR","FPR","Threshold","Ntrue","Nwrong","Accurate","FalsePositive"
"34",0.117647058823529,0.769230769230769,0.555555555555556,0.0447761194029851,0.033,10,3," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 113IL 113MI 113WI"
"35",0.117647058823529,0.714285714285714,0.555555555555556,0.0597014925373134,0.034,10,4," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 113IL 113MI 113NY 113WI"
"36",0.117647058823529,0.714285714285714,0.555555555555556,0.0597014925373134,0.035,10,4," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 113IL 113MI 113NY 113WI"
"37",0.117647058823529,0.666666666666667,0.555555555555556,0.0746268656716418,0.036,10,5," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 113IL 113MI 113NY 113WI"
"38",0.117647058823529,0.666666666666667,0.555555555555556,0.0746268656716418,0.037,10,5," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 113IL 113MI 113NY 113WI"
"39",0.117647058823529,0.666666666666667,0.555555555555556,0.0746268656716418,0.038,10,5," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 113IL 113MI 113NY 113WI"
"40",0.117647058823529,0.666666666666667,0.555555555555556,0.0746268656716418,0.039,10,5," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 113IL 113MI 113NY 113WI"
"41",0.117647058823529,0.666666666666667,0.555555555555556,0.0746268656716418,0.04,10,5," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 113IL 113MI 113NY 113WI"
"42",0.117647058823529,0.625,0.555555555555556,0.0895522388059701,0.041,10,6," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 113IL 113MI 113NY 113WI"
"43",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.042,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
"44",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.043,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
"45",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.044,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
"46",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.045,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
"47",0.117647058823529,0.588235294117647,0.555555555555556,0.104477611940299,0.046,10,7," 118IL 118KS 118TX 113FL 113MD 113NC 113OH 113PA 113SC 113TX"," 118CA 118CO 118MS 113IL 113MI 113NY 113WI"
