YEAR,ST,Nd,Act_Edem,Sim_Edem_mean,Sim_Edem_median,Edem_Q025,Edem_Q975,Pless,Pmore,Act_Csplits,Csplits_Q025,Csplits_Q975,Act_MinPolsby,Med_MinPolsby,MinPolsby_Q025,MinPolsby_Q975,Act_MedPolsby,Med_MedPolsby,MedPolsby_Q025,MedPolsby_Q975,SESSN,Gerryd,Splitd,MinPolsbyd,MedPolsbyd
2010,PA,18,7.857,8.2724482,8.286,7.713842343,8.99988703,0.0582,0.853,28,10,15.0015125,0.0413,0.14011,0.095456,0.187122485,0.13758,0.268585,0.227974682,0.307979715,113,1,1,1,1
2010,RI,2,2,1.9970302,2,2,2,0.015,0,1,1,1,0.2665,0.32565,0.199147952,0.375590565,0.28805,0.38635,0.224929294,0.496377709,113,0,0,0,0
2010,SC,7,1,1.7748894,1.571,1.429,2.571043258,0,0.9956,12,4,6,0.07275,0.15524,0.108087511,0.203584796,0.20435,0.23727,0.190108084,0.310337138,113,1,1,1,0
2010,TN,9,2,1.899,2,1.4,2.2,0.2406,0.0422,7,5,8,0.10992,0.15389,0.104621289,0.212513245,0.22616,0.23199,0.182040354,0.278568149,113,0,0,0,0
2010,TX,36,13.83,15.570294,15.67,14,16.9760011,0.013,0.9842,30,18,24,0.03913,0.10188,0.072557661,0.126413394,0.184815,0.21976,0.198208426,0.249266398,113,1,1,1,1
2010,UT,4,0,0.472575,0.375,0,0.875,0,0.8996,5,1.093745,3,0.18251,0.18697,0.101619748,0.303701837,0.240665,0.33593,0.216548035,0.457606902,113,0,1,0,0
2010,VA,11,6.75,6.88235,7,6,7.9921875,0.3116,0.5018,14,6,11,0.07934,0.13031,0.087286957,0.179855692,0.16492,0.22077,0.172389727,0.276213662,113,0,1,1,1
2010,WA,10,6.1,6.18172,6.2,5.792416,6.5,0.2174,0.6594,9,5,8,0.11046,0.14201,0.089421333,0.199844174,0.2268,0.2584075,0.203029729,0.318117789,113,0,1,0,0
2010,WI,8,2.571,2.7619756,2.714,2.286,3.560576283,0.185,0.5342,12,4,7,0.16466,0.205175,0.135933902,0.28565792,0.26806,0.33361,0.251817627,0.412637429,113,0,1,0,0
2010,WV,3,0.6,0.57576,0.6,0.5,0.7,0.294,0.0516,0,0,0,0.09528,0.1182,0.079502405,0.18443,0.13954,0.18443,0.11522964,0.254883869,113,0,0,0,0
