"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.0243620937755984,0.060206885877672,0.404639659076492,0.685742402281253
"Cnt_Pby_Avg",0.365651415553562,0.11301942039725,3.23529721058859,0.00121516169499413
"RSTPolsby",0.313036703254157,0.0975029549430713,3.21053555183972,0.00132487878730695
"S118",0.0393523841704261,0.0233466985964267,1.68556526345224,0.0918795645329577
"Phi:(phi)",19.0398319561787,2.97226477064175,6.40583306852161,1.49550522523896e-10
"Rsq",0.248534201520599,NA,NA,NA
"AIC",-135.68078092182,NA,NA,NA
"BIC",-125.574899823812,NA,NA,NA
