"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.384485329604917,0.00997098742280345,38.560406637923,0
"Phi:(phi)",17.7054459190881,2.16470583192253,8.17914640316898,2.85861621033861e-16
"Rsq",NA,NA,NA,NA
"AIC",-192.357768146119,NA,NA,NA
"BIC",-196.357768146119,NA,NA,NA
