"Estimate","Std. Error","z value","Pr(>|z|)"
0.261494414911788,0.054537215429784,4.79478852836663,1.62846525825426e-06
-0.0619491991925378,0.073214009985777,-0.846138590203875,0.397475435036099
0.0323092158287261,0.0786922204160959,0.410577000596587,0.68138273115422
-0.0491523737023922,0.0741021269211132,-0.66330584214834,0.507134695694586
-0.00481779832330889,0.0768189534575149,-0.0627162712646612,0.949992440305151
0.0113930428646414,0.0776801496267835,0.146666077748042,0.883395595031038
-0.0042135098771184,0.0768522872634052,-0.054826082959339,0.956277020453425
0.105306075811065,0.0813998422376164,1.29368894234049,0.195772886342462
0.112338204039122,0.0815960400839648,1.37676048891003,0.168586310297972
-0.0210422456108982,0.0758875554813391,-0.277281900536017,0.781563656184935
0.0716045011786638,0.0803044380354251,0.891663062844379,0.372573557445139
0.0612419351449286,0.0799149870538351,0.766338548033208,0.443474887287062
0.0284984499400646,0.0785159819712615,0.362963682355723,0.71663201417405
0.082929414674874,0.116600727230565,0.711225535591132,0.476944487086018
0.11498261494012,0.0816669722158975,1.40794511930905,0.159147321357145
0.0773395084786792,0.0805092084090441,0.960629349201143,0.336738566289764
0.0300710548364537,0.0785891465786072,0.382636230899591,0.701989502615818
-0.0783412824178421,0.0720042652998069,-1.08800891296716,0.27659117281689
-0.0286322815698141,0.0754273054150887,-0.379601013349821,0.704241608482967
0.00532573774936271,0.0773658107061732,0.0688383886984559,0.945118260786287
-0.0452618416405878,0.0743626151182204,-0.608663931044267,0.542747219363627
0.100972767305351,0.0812734359721956,1.24238339498646,0.214095139204416
-0.0548156019005878,0.0737150612723435,-0.743614682731784,0.457109617879539
0.0688040429415369,0.0802016686472146,0.8578879230579,0.390954353533928
-0.0556241435828418,0.0736590304756598,-0.755157150774913,0.45015469529609
0.0481451472637952,0.0793864695743839,0.6064654030078,0.544205749496209
-0.0943883369131732,0.0707384393332485,-1.33432880061871,0.182096122784306
19.9854358448352,3.12298380126898,6.39946830230577,1.55918943739863e-10
0.2859687148533,NA,NA,NA
-93.4743774959131,NA,NA,NA
24.7765920201529,NA,NA,NA
