STATE,ST_POP,REPs,POP_REP
Alabama,4461130,7,637304
Alaska,628933,1,628933
Arizona,5140683,8,642585
Arkansas,2679733,4,669933
California,33930798,53,640204
Colorado,4311882,7,615983
Connecticut,3409535,5,681907
Delaware,785068,1,785068
Florida,16028890,25,641156
Georgia,8206975,13,631306
Hawaii,1216642,2,608321
Idaho,1297274,2,648637
Illinois,12439042,19,654686
Indiana,6090782,9,676754
Iowa,2931923,5,586385
Kansas,2693824,4,673456
Kentucky,4049431,6,674905
Louisiana,4480271,7,640039
Maine,1277731,2,638866
Maryland,5307886,8,663486
Massachusetts,6355568,10,635557
Michigan,9955829,15,663722
Minnesota,4925670,8,615709
Mississippi,2852927,4,713232
Missouri,5606260,9,622918
Montana,905316,1,905316
Nebraska,1715369,3,571790
Nevada,2002032,3,667344
New Hampshire,1238415,2,619208
New Jersey,8424354,13,648027
New Mexico,1823821,3,607940
New York,19004973,29,655344
North Carolina,8067673,13,620590
North Dakota,643756,1,643756
Ohio,11374540,18,631919
Oklahoma,3458819,5,691764
Oregon,3428543,5,685709
Pennsylvania,12300670,19,647404
Rhode Island,1049662,2,524831
South Carolina,4025061,6,670844
South Dakota,756874,1,756874
Tennessee,5700037,9,633337
Texas,20903994,32,653250
Utah,2236714,3,745571
Vermont,609890,1,609890
Virginia,7100702,11,645518
Washington,5908684,9,656520
West Virginia,1813077,3,604359
Wisconsin,5371210,8,671401
Wyoming,495304,1,495304
